bidding_price,clicks
1,0
2,0
3,0
4,2
5,4
6,32
7,33
8,33
9,34
10,40
11,47
12,51
13,57
14,59
15,66
16,70
17,73
18,84
19,88
20,108
21,116
22,135
23,140
24,144
25,150
26,153
27,158
28,165
29,168
30,186
31,206
32,211
33,219
34,227
35,233
36,241
37,248
38,254
39,256
40,264
41,271
42,283
43,287
44,297
45,304
46,307
47,314
48,316
49,321
50,351
51,356
52,379
53,384
54,389
55,408
56,417
57,424
58,434
59,437
60,448
61,459
62,466
63,471
64,480
65,488
66,490
67,500
68,501
69,505
70,619
71,615
72,615
73,632
74,628
75,624
76,628
77,645
78,644
79,641
80,627
81,624
82,627
83,624
84,616
85,615
86,615
87,616
88,594
89,593
90,594
91,596
92,593
93,595
94,594
95,595
96,595
97,596
98,597
99,597
100,588
101,590
102,587
103,586
104,588
105,588
106,589
107,586
108,588
109,589
110,588
111,587
112,585
113,582
114,583
115,585
116,583
117,579
118,576
119,575
120,575
121,577
122,578
123,578
124,575
125,576
126,579
127,578
128,582
129,578
130,578
131,579
132,580
133,575
134,574
135,572
136,569
137,566
138,564
139,559
140,560
141,558
142,554
143,553
144,555
145,556
146,553
147,549
148,549
149,546
150,543
151,540
152,543
153,542
154,543
155,544
156,542
157,537
158,537
159,539
160,526
161,527
162,523
163,523
164,525
165,524
166,518
167,509
168,511
169,510
170,509
171,510
172,508
173,504
174,505
175,504
176,504
177,504
178,507
179,507
180,495
181,495
182,494
183,492
184,492
185,491
186,491
187,491
188,489
189,489
190,489
191,489
192,488
193,489
194,488
195,488
196,488
197,489
198,488
199,487
200,485
201,486
202,487
203,484
204,483
205,482
206,481
207,482
208,483
209,483
210,479
211,478
212,480
213,481
214,482
215,482
216,484
217,482
218,483
219,482
220,480
221,476
222,476
223,476
224,474
225,473
226,471
227,469
228,469
229,469
230,469
231,468
232,468
233,467
234,467
235,465
236,465
237,464
238,464
239,464
240,463
241,463
242,463
243,463
244,463
245,463
246,463
247,465
248,465
249,464
250,463
251,465
252,465
253,465
254,464
255,463
256,463
257,462
258,461
259,462
260,462
261,460
262,459
263,459
264,459
265,459
266,459
267,459
268,459
269,459
270,460
271,460
272,458
273,458
274,458
275,459
276,458
277,457
278,457
279,457
280,456
281,452
282,452
283,453
284,453
285,453
286,456
287,455
288,454
289,455
290,455
291,454
292,453
293,452
294,452
295,451
296,450
297,450
298,450
299,450
300,451
