constant,random,linear,ortb
77,83,,
77,50,,
77,96,,
77,96,,
77,98,,
77,67,,
77,88,,
77,48,,
77,88,,
77,60,,
77,44,,
77,40,,
77,62,,
77,40,,
77,59,,
77,98,,
77,70,,
77,96,,
77,43,,
77,94,,
77,70,,
77,83,,
77,51,,
77,65,,
77,42,,
77,55,,
77,96,,
77,50,,
77,59,,
77,45,,
77,71,,
77,79,,
77,59,,
77,98,,
77,99,,
77,47,,
77,68,,
77,53,,
77,98,,
77,69,,
77,74,,
77,75,,
77,42,,
77,63,,
77,42,,
77,82,,
77,54,,
77,60,,
77,52,,
77,62,,
77,79,,
77,97,,
77,84,,
77,47,,
77,59,,
77,94,,
77,78,,
77,47,,
77,83,,
77,70,,
77,79,,
77,69,,
77,44,,
77,53,,
77,61,,
77,78,,
77,59,,
77,53,,
77,78,,
77,90,,
77,83,,
77,62,,
77,50,,
77,84,,
77,81,,
77,54,,
77,81,,
77,53,,
77,55,,
77,96,,
77,100,,
77,42,,
77,75,,
77,79,,
77,92,,
77,47,,
77,72,,
77,92,,
77,83,,
77,84,,
77,66,,
77,51,,
77,67,,
77,86,,
77,44,,
77,49,,
77,100,,
77,67,,
77,55,,
77,41,,
77,91,,
77,52,,
77,81,,
77,89,,
77,85,,
77,59,,
77,52,,
77,42,,
77,89,,
77,55,,
77,46,,
77,88,,
77,57,,
77,58,,
77,45,,
77,62,,
77,92,,
77,72,,
77,79,,
77,72,,
77,80,,
77,93,,
77,84,,
77,51,,
77,77,,
77,75,,
77,51,,
77,91,,
77,76,,
77,47,,
77,41,,
77,71,,
77,75,,
77,59,,
77,90,,
77,55,,
77,89,,
77,79,,
77,63,,
77,55,,
77,86,,
77,71,,
77,63,,
77,96,,
77,89,,
77,92,,
77,43,,
77,54,,
77,52,,
77,91,,
77,83,,
77,62,,
77,76,,
77,61,,
77,71,,
77,100,,
77,62,,
77,65,,
77,74,,
77,58,,
77,67,,
77,79,,
77,72,,
77,46,,
77,72,,
77,51,,
77,82,,
77,44,,
77,82,,
77,77,,
77,83,,
77,51,,
77,82,,
77,75,,
77,58,,
77,87,,
77,47,,
77,92,,
77,59,,
77,90,,
77,95,,
77,75,,
77,90,,
77,54,,
77,93,,
77,89,,
77,59,,
77,100,,
77,84,,
77,85,,
77,88,,
77,61,,
77,92,,
77,46,,
77,65,,
77,76,,
77,77,,
77,44,,
77,93,,
77,58,,
77,67,,
77,66,,
77,92,,
77,93,,
77,84,,
77,43,,
77,88,,
77,56,,
77,40,,
77,91,,
77,43,,
77,47,,
77,64,,
77,94,,
77,90,,
77,55,,
77,100,,
77,46,,
77,53,,
77,76,,
77,54,,
77,89,,
77,44,,
77,83,,
77,47,,
77,55,,
77,91,,
77,93,,
77,85,,
77,80,,
77,80,,
77,87,,
77,65,,
77,90,,
77,63,,
77,84,,
77,65,,
77,87,,
77,92,,
77,79,,
77,94,,
77,55,,
77,85,,
77,50,,
77,67,,
77,85,,
77,72,,
77,99,,
77,45,,
77,97,,
77,66,,
77,54,,
77,40,,
77,54,,
77,100,,
77,66,,
77,74,,
77,66,,
77,55,,
77,43,,
77,60,,
77,55,,
77,78,,
77,57,,
77,54,,
77,82,,
77,85,,
77,85,,
77,74,,
77,99,,
77,61,,
77,86,,
77,97,,
77,73,,
77,92,,
77,44,,
77,68,,
77,62,,
77,90,,
77,87,,
77,62,,
77,60,,
77,49,,
77,93,,
77,76,,
77,89,,
77,45,,
77,51,,
77,68,,
77,42,,
77,60,,
77,84,,
77,94,,
77,69,,
77,54,,
77,71,,
77,47,,
77,72,,
77,52,,
77,64,,
77,45,,
77,85,,
77,94,,
77,55,,
77,42,,
77,40,,
77,61,,
77,46,,
77,96,,
77,54,,
77,50,,
77,48,,
77,93,,
77,79,,
77,63,,
77,58,,
77,80,,
77,85,,
77,75,,
77,66,,
77,86,,
77,96,,
77,49,,
77,90,,
77,62,,
77,87,,
77,71,,
77,56,,
77,71,,
77,97,,
77,100,,
77,64,,
77,67,,
77,72,,
77,58,,
77,84,,
77,70,,
77,100,,
77,53,,
77,93,,
77,51,,
77,53,,
77,50,,
77,100,,
77,66,,
77,85,,
77,79,,
77,72,,
77,87,,
77,87,,
77,75,,
77,69,,
77,51,,
77,54,,
77,87,,
77,81,,
77,51,,
77,99,,
77,45,,
77,72,,
77,51,,
77,46,,
77,82,,
77,74,,
77,53,,
77,93,,
77,59,,
77,91,,
77,55,,
77,61,,
77,94,,
77,81,,
77,80,,
77,66,,
77,99,,
77,65,,
77,59,,
77,56,,
77,71,,
77,87,,
77,99,,
77,92,,
77,78,,
77,47,,
77,96,,
77,77,,
77,60,,
77,44,,
77,88,,
77,90,,
77,90,,
77,65,,
77,62,,
77,49,,
77,94,,
77,52,,
77,50,,
77,67,,
77,63,,
77,75,,
77,57,,
77,79,,
77,56,,
77,96,,
77,81,,
77,83,,
77,45,,
77,64,,
77,60,,
77,78,,
77,45,,
77,94,,
77,86,,
77,77,,
77,81,,
77,56,,
77,98,,
77,43,,
77,70,,
77,80,,
77,81,,
77,66,,
77,93,,
77,59,,
77,89,,
77,84,,
77,89,,
77,91,,
77,77,,
77,48,,
77,53,,
77,92,,
77,41,,
77,87,,
77,62,,
77,64,,
77,53,,
77,77,,
77,43,,
77,43,,
77,81,,
77,52,,
77,54,,
77,70,,
77,100,,
77,91,,
77,46,,
77,42,,
77,83,,
77,86,,
77,62,,
77,79,,
77,80,,
77,55,,
77,50,,
77,87,,
77,72,,
77,77,,
77,83,,
77,70,,
77,99,,
77,83,,
77,89,,
77,98,,
77,96,,
77,64,,
77,67,,
77,74,,
77,45,,
77,81,,
77,56,,
77,80,,
77,99,,
77,89,,
77,95,,
77,59,,
77,52,,
77,94,,
77,63,,
77,58,,
77,62,,
77,46,,
77,89,,
77,47,,
77,64,,
77,79,,
77,99,,
77,100,,
77,54,,
77,74,,
77,60,,
77,49,,
77,90,,
77,45,,
77,45,,
77,50,,
77,74,,
77,71,,
77,72,,
77,51,,
77,52,,
77,68,,
77,81,,
77,87,,
77,50,,
77,70,,
77,82,,
77,47,,
77,56,,
77,90,,
77,44,,
77,66,,
77,82,,
77,41,,
77,91,,
77,92,,
77,53,,
77,52,,
77,93,,
77,66,,
77,40,,
77,82,,
77,45,,
77,98,,
77,86,,
77,99,,
77,58,,
77,95,,
77,59,,
77,62,,
77,81,,
77,72,,
77,66,,
77,40,,
77,88,,
77,47,,
77,88,,
77,68,,
77,42,,
77,94,,
77,90,,
77,55,,
77,86,,
77,57,,
77,49,,
77,88,,
77,100,,
77,46,,
77,62,,
77,82,,
77,64,,
77,61,,
77,49,,
77,40,,
77,82,,
77,59,,
77,78,,
77,41,,
77,69,,
77,90,,
77,52,,
